AccidentDate,State,Accident_Count
2019-01-06,TX,44
2019-01-06,UT,137
2019-01-06,VA,58
2019-01-06,VT,1
2019-01-06,WA,14
2019-01-06,WI,3
2019-01-07,AL,86
2019-01-07,AR,3
2019-01-07,AZ,87
2019-01-07,CA,412
2019-01-07,CO,54
2019-01-07,CT,14
2019-01-07,DC,9
2019-01-07,DE,3
2019-01-07,FL,219
2019-01-07,GA,92
2019-01-07,IA,12
2019-01-07,IL,92
2019-01-07,IN,27
2019-01-07,KS,5
2019-01-07,KY,11
2019-01-07,LA,60
2019-01-07,MA,31
2019-01-07,MD,36
2019-01-07,ME,1
2019-01-07,MI,77
2019-01-07,MN,66
2019-01-07,MO,19
2019-01-07,MS,5
2019-01-07,MT,4
2019-01-07,NC,187
2019-01-07,NE,28
2019-01-07,NH,6
2019-01-07,NJ,32
2019-01-07,NM,13
2019-01-07,NV,22
2019-01-07,NY,100
2019-01-07,OH,60
2019-01-07,OK,109
2019-01-07,OR,205
2019-01-07,PA,97
2019-01-07,RI,6
2019-01-07,SC,186
2019-01-07,TN,60
2019-01-07,TX,254
2019-01-07,UT,96
2019-01-07,VA,139
2019-01-07,WA,48
2019-01-07,WI,41
2019-01-07,WV,1
2019-01-08,AL,67
2019-01-08,AR,3
2019-01-08,AZ,111
2019-01-08,CA,404
2019-01-08,CO,70
2019-01-08,CT,9
2019-01-08,DC,1
2019-01-08,DE,7
2019-01-08,FL,240
2019-01-08,GA,84
2019-01-08,IA,6
2019-01-08,ID,1
2019-01-08,IL,50
2019-01-08,IN,36
2019-01-08,KS,1
2019-01-08,KY,27
2019-01-08,LA,71
2019-01-08,MA,23
2019-01-08,MD,41
2019-01-08,ME,4
2019-01-08,MI,61
2019-01-08,MN,77
2019-01-08,MO,25
2019-01-08,MS,7
2019-01-08,NC,181
2019-01-08,NE,23
2019-01-08,NH,30
2019-01-08,NJ,36
2019-01-08,NM,5
2019-01-08,NV,11
2019-01-08,NY,85
2019-01-08,OH,78
2019-01-08,OK,77
2019-01-08,OR,136
2019-01-08,PA,73
2019-01-08,RI,5
2019-01-08,SC,186
2019-01-08,TN,58
2019-01-08,TX,278
2019-01-08,UT,84
2019-01-08,VA,116
2019-01-08,VT,1
2019-01-08,WA,63
2019-01-08,WI,15
2019-01-08,WV,1
2019-01-09,AL,72
2019-01-09,AR,2
2019-01-09,AZ,84
2019-01-09,CA,492
2019-01-09,CO,55
2019-01-09,CT,24
2019-01-09,DC,1
2019-01-09,DE,8
2019-01-09,FL,242
2019-01-09,GA,97
2019-01-09,IA,5
2019-01-09,ID,2
2019-01-09,IL,52
2019-01-09,IN,22
2019-01-09,KS,2
2019-01-09,KY,24
2019-01-09,LA,60
2019-01-09,MA,27
2019-01-09,MD,30
2019-01-09,ME,1
2019-01-09,MI,97
2019-01-09,MN,72
2019-01-09,MO,20
2019-01-09,MS,8
2019-01-09,NC,205
2019-01-09,NE,13
2019-01-09,NH,14
2019-01-09,NJ,36
2019-01-09,NM,9
2019-01-09,NV,10
2019-01-09,NY,74
2019-01-09,OH,53
2019-01-09,OK,87
2019-01-09,OR,93
2019-01-09,PA,91
2019-01-09,RI,12
2019-01-09,SC,173
2019-01-09,TN,64
2019-01-09,TX,235
2019-01-09,UT,54
2019-01-09,VA,92
2019-01-09,VT,6
2019-01-09,WA,71
2019-01-09,WI,25
2019-01-09,WV,1
2019-01-10,AL,79
2019-01-10,AR,8
2019-01-10,AZ,77
2019-01-10,CA,473
2019-01-10,CO,67
2019-01-10,CT,10
2019-01-10,DC,9
2019-01-10,DE,7
2019-01-10,FL,262
2019-01-10,GA,91
2019-01-10,IA,8
2019-01-10,ID,2
2019-01-10,IL,59
2019-01-10,IN,17
2019-01-10,KS,6
2019-01-10,KY,18
2019-01-10,LA,66
2019-01-10,MA,23
2019-01-10,MD,29
2019-01-10,ME,3
2019-01-10,MI,76
2019-01-10,MN,93
2019-01-10,MO,21
2019-01-10,MS,9
2019-01-10,MT,1
2019-01-10,NC,178
2019-01-10,NE,12
2019-01-10,NH,9
2019-01-10,NJ,37
2019-01-10,NM,10
2019-01-10,NV,10
2019-01-10,NY,182
2019-01-10,OH,51
2019-01-10,OK,93
2019-01-10,OR,111
2019-01-10,PA,56
2019-01-10,RI,11
2019-01-10,SC,195
2019-01-10,TN,51
2019-01-10,TX,243
2019-01-10,UT,66
2019-01-10,VA,142
2019-01-10,WA,56
2019-01-10,WI,15
2019-01-10,WY,2
2019-01-11,AL,47
2019-01-11,AR,2
2019-01-11,AZ,87
2019-01-11,CA,416
2019-01-11,CO,70
2019-01-11,CT,18
2019-01-11,DC,6
2019-01-11,DE,13
2019-01-11,FL,228
2019-01-11,GA,79
2019-01-11,IA,2
2019-01-11,IL,51
2019-01-11,IN,14
2019-01-11,KS,7
2019-01-11,KY,29
2019-01-11,LA,79
2019-01-11,MA,26
2019-01-11,MD,27
2019-01-11,MI,60
2019-01-11,MN,67
2019-01-11,MO,32
2019-01-11,MS,6
2019-01-11,NC,161
2019-01-11,NE,28
2019-01-11,NH,7
2019-01-11,NJ,31
2019-01-11,NM,2
2019-01-11,NV,10
2019-01-11,NY,100
2019-01-11,OH,57
2019-01-11,OK,112
2019-01-11,OR,109
2019-01-11,PA,65
2019-01-11,RI,8
2019-01-11,SC,172
2019-01-11,TN,53
2019-01-11,TX,289
2019-01-11,UT,69
2019-01-11,VA,96
2019-01-11,WA,53
2019-01-11,WI,14
2019-01-11,WY,1
2019-01-12,AL,16
2019-01-12,AR,4
2019-01-12,AZ,24
2019-01-12,CA,298
2019-01-12,CO,30
2019-01-12,CT,10
2019-01-12,FL,75
2019-01-12,GA,39
2019-01-12,IA,12
2019-01-12,IL,34
2019-01-12,IN,59
2019-01-12,KS,5
2019-01-12,KY,3
2019-01-12,LA,13
2019-01-12,MA,1
2019-01-12,MD,11
2019-01-12,MI,11
2019-01-12,MN,13
2019-01-12,MO,28
2019-01-12,MT,0
2019-01-12,NC,36
2019-01-12,NE,10
2019-01-12,NJ,17
2019-01-12,NM,2
2019-01-12,NV,4
2019-01-12,NY,40
2019-01-12,OH,29
2019-01-12,OK,3
2019-01-12,OR,94
2019-01-12,PA,42
2019-01-12,SC,30
2019-01-12,TN,16
2019-01-12,TX,50
2019-01-12,UT,27
2019-01-12,VA,19
2019-01-12,WA,20
2019-01-12,WI,4
2019-01-12,WV,2
2019-01-13,AL,3
2019-01-13,AR,1
2019-01-13,AZ,17
2019-01-13,CA,160
2019-01-13,CO,10
2019-01-13,CT,7
2019-01-13,FL,44
2019-01-13,GA,21
2019-01-13,IA,6
2019-01-13,IL,8
2019-01-13,IN,21
2019-01-13,KS,1
2019-01-13,KY,9
2019-01-13,LA,3
2019-01-13,MA,7
2019-01-13,MD,29
2019-01-13,MI,12
2019-01-13,MN,7
2019-01-13,MO,28
2019-01-13,MS,1
2019-01-13,NC,43
2019-01-13,NH,2
2019-01-13,NJ,32
2019-01-13,NM,2
2019-01-13,NY,34
2019-01-13,OH,36
2019-01-13,OK,1
2019-01-13,OR,67
2019-01-13,PA,34
2019-01-13,RI,1
2019-01-13,SC,20
2019-01-13,TN,14
2019-01-13,TX,31
2019-01-13,UT,13
2019-01-13,VA,42
2019-01-13,WA,13
2019-01-13,WI,3
2019-01-13,WV,1
2019-01-14,AL,24
2019-01-14,AZ,78
2019-01-14,CA,627
2019-01-14,CO,41
2019-01-14,CT,16
2019-01-14,DC,2
2019-01-14,DE,13
2019-01-14,FL,169
2019-01-14,GA,101
2019-01-14,IA,27
2019-01-14,ID,1
2019-01-14,IL,89
2019-01-14,IN,43
2019-01-14,KS,3
2019-01-14,KY,18
2019-01-14,LA,51
2019-01-14,MA,46
2019-01-14,MD,49
2019-01-14,ME,3
2019-01-14,MI,60
2019-01-14,MN,76
2019-01-14,MO,32
2019-01-14,MS,5
2019-01-14,NC,207
2019-01-14,NE,13
2019-01-14,NH,14
2019-01-14,NJ,32
2019-01-14,NM,7
2019-01-14,NV,5
2019-01-14,NY,127
2019-01-14,OH,105
2019-01-14,OK,90
2019-01-14,OR,108
2019-01-14,PA,70
2019-01-14,RI,10
2019-01-14,SC,144
2019-01-14,TN,58
2019-01-14,TX,295
2019-01-14,UT,38
2019-01-14,VA,89
2019-01-14,WA,55
2019-01-14,WI,22
2019-01-14,WV,1
2019-01-14,WY,1
2019-01-15,AL,43
2019-01-15,AR,2
2019-01-15,AZ,91
2019-01-15,CA,539
2019-01-15,CO,62
2019-01-15,CT,19
2019-01-15,DC,3
2019-01-15,DE,10
2019-01-15,FL,190
2019-01-15,GA,108
2019-01-15,IA,13
2019-01-15,ID,5
2019-01-15,IL,94
2019-01-15,IN,21
2019-01-15,KS,5
2019-01-15,KY,21
2019-01-15,LA,64
2019-01-15,MA,28
2019-01-15,MD,48
2019-01-15,ME,4
2019-01-15,MI,102
2019-01-15,MN,60
2019-01-15,MO,36
2019-01-15,MS,7
2019-01-15,NC,174
2019-01-15,NE,26
2019-01-15,NH,2
2019-01-15,NJ,59
2019-01-15,NM,8
2019-01-15,NV,24
2019-01-15,NY,128
2019-01-15,OH,109
2019-01-15,OK,117
2019-01-15,OR,103
2019-01-15,PA,83
2019-01-15,RI,6
2019-01-15,SC,179
2019-01-15,TN,66
2019-01-15,TX,254
2019-01-15,UT,118
2019-01-15,VA,121
2019-01-15,VT,1
2019-01-15,WA,42
2019-01-15,WI,16
2019-01-16,AL,74
2019-01-16,AR,7
2019-01-16,AZ,127
2019-01-16,CA,583
2019-01-16,CO,68
2019-01-16,CT,12
2019-01-16,DC,7
2019-01-16,DE,10
2019-01-16,FL,196
2019-01-16,GA,152
2019-01-16,IA,13
2019-01-16,ID,1
2019-01-16,IL,86
2019-01-16,IN,30
2019-01-16,KS,5
2019-01-16,KY,24
2019-01-16,LA,67
2019-01-16,MA,40
2019-01-16,MD,49
2019-01-16,MI,125
2019-01-16,MN,81
2019-01-16,MO,35
2019-01-16,MS,8
2019-01-16,NC,218
2019-01-16,NE,20
2019-01-16,NH,5
2019-01-16,NJ,38
2019-01-16,NM,5
2019-01-16,NV,14
2019-01-16,NY,143
2019-01-16,OH,71
2019-01-16,OK,67
2019-01-16,OR,123
2019-01-16,PA,89
2019-01-16,RI,16
2019-01-16,SC,196
2019-01-16,TN,70
2019-01-16,TX,303
2019-01-16,UT,159
2019-01-16,VA,112
2019-01-16,WA,45
2019-01-16,WI,11
2019-01-16,WV,1
2019-01-16,WY,3
2019-01-17,AL,88
2019-01-17,AR,1
2019-01-17,AZ,89
2019-01-17,CA,487
2019-01-17,CO,75
2019-01-17,CT,24
2019-01-17,DC,3
2019-01-17,DE,5
2019-01-17,FL,179
2019-01-17,GA,132
2019-01-17,IA,9
2019-01-17,ID,2
2019-01-17,IL,85
2019-01-17,IN,31
2019-01-17,KS,3
2019-01-17,KY,42
2019-01-17,LA,64
2019-01-17,MA,35
2019-01-17,MD,17
2019-01-17,MI,76
2019-01-17,MN,60
2019-01-17,MO,34
2019-01-17,MS,10
2019-01-17,NC,159
2019-01-17,NE,9
2019-01-17,NH,11
2019-01-17,NJ,45
2019-01-17,NM,11
2019-01-17,NV,13
2019-01-17,NY,100
2019-01-17,OH,50
2019-01-17,OK,77
2019-01-17,OR,157
2019-01-17,PA,52
2019-01-17,RI,9
2019-01-17,SC,182
2019-01-17,TN,98
2019-01-17,TX,320
2019-01-17,UT,130
2019-01-17,VA,65
2019-01-17,WA,38
2019-01-17,WI,31
2019-01-17,WV,4
2019-01-17,WY,7
2019-01-18,AL,55
2019-01-18,AR,2
2019-01-18,AZ,85
2019-01-18,CA,315
2019-01-18,CO,57
2019-01-18,CT,22
2019-01-18,DC,9
2019-01-18,DE,3
2019-01-18,FL,237
2019-01-18,GA,142
2019-01-18,IA,13
2019-01-18,ID,1
2019-01-18,IL,85
2019-01-18,IN,17
2019-01-18,KS,3
2019-01-18,KY,14
2019-01-18,LA,63
2019-01-18,MA,27
2019-01-18,MD,46
2019-01-18,ME,1
2019-01-18,MI,50
2019-01-18,MN,41
2019-01-18,MO,40
2019-01-18,MS,11
2019-01-18,MT,1
2019-01-18,NC,108
2019-01-18,NE,18
2019-01-18,NH,12
2019-01-18,NJ,47
2019-01-18,NM,10
2019-01-18,NV,11
2019-01-18,NY,125
2019-01-18,OH,55
2019-01-18,OK,94
2019-01-18,OR,257
2019-01-18,PA,84
2019-01-18,RI,11
2019-01-18,SC,173
2019-01-18,SD,1
2019-01-18,TN,102
2019-01-18,TX,251
2019-01-18,UT,79
2019-01-18,VA,63
2019-01-18,WA,48
2019-01-18,WI,20
2019-01-18,WV,2
2019-01-18,WY,1
2019-01-19,AL,26
2019-01-19,AR,2
2019-01-19,AZ,37
2019-01-19,CA,220
2019-01-19,CO,34
2019-01-19,CT,5
2019-01-19,FL,58
2019-01-19,GA,63
2019-01-19,IA,4
2019-01-19,ID,1
2019-01-19,IL,70
2019-01-19,IN,37
2019-01-19,KS,2
2019-01-19,KY,19
2019-01-19,LA,3
2019-01-19,MA,1
2019-01-19,MD,13
2019-01-19,MI,125
2019-01-19,MN,31
2019-01-19,MO,15
2019-01-19,MS,8
2019-01-19,NC,29
2019-01-19,NE,9
2019-01-19,NJ,16
2019-01-19,NM,1
2019-01-19,NY,88
2019-01-19,OH,22
2019-01-19,OK,4
2019-01-19,OR,122
2019-01-19,PA,19
2019-01-19,RI,3
2019-01-19,SC,38
2019-01-19,TN,39
2019-01-19,TX,61
2019-01-19,UT,23
2019-01-19,VA,20
2019-01-19,WA,23
2019-01-19,WI,14
2019-01-19,WY,1
2019-01-20,AL,1
2019-01-20,AR,2
2019-01-20,AZ,14
2019-01-20,CA,268
2019-01-20,CO,13
2019-01-20,CT,8
2019-01-20,FL,57
2019-01-20,GA,24
2019-01-20,IA,8
2019-01-20,IL,7
2019-01-20,IN,19
2019-01-20,KY,8
2019-01-20,LA,7
2019-01-20,MA,2
2019-01-20,MD,19
2019-01-20,ME,2
2019-01-20,MI,44
2019-01-20,MN,27
2019-01-20,MO,11
2019-01-20,MS,1
2019-01-20,NC,20
2019-01-20,NE,6
2019-01-20,NH,5
2019-01-20,NJ,24
2019-01-20,NM,1
2019-01-20,NV,5
2019-01-20,NY,106
2019-01-20,OH,4
2019-01-20,OK,2
2019-01-20,OR,99
2019-01-20,PA,22
2019-01-20,RI,16
2019-01-20,SC,62
2019-01-20,TN,5
2019-01-20,TX,23
2019-01-20,UT,15
2019-01-20,VA,12
2019-01-20,WA,25
2019-01-20,WI,3
2019-01-20,WY,1
2019-01-21,AL,56
2019-01-21,AR,1
2019-01-21,AZ,47
2019-01-21,CA,281
2019-01-21,CO,59
2019-01-21,CT,20
2019-01-21,DC,2
2019-01-21,DE,2
2019-01-21,FL,129
2019-01-21,GA,34
2019-01-21,IA,10
2019-01-21,ID,4
2019-01-21,IL,94
2019-01-21,IN,29
2019-01-21,KS,1
2019-01-21,KY,17
2019-01-21,LA,60
2019-01-21,MA,32
2019-01-21,MD,25
2019-01-21,ME,1
2019-01-21,MI,94
2019-01-21,MN,36
2019-01-21,MO,34
2019-01-21,MS,6
2019-01-21,MT,1
2019-01-21,NC,151
2019-01-21,NE,27
2019-01-21,NH,21
2019-01-21,NJ,20
2019-01-21,NM,2
2019-01-21,NV,18
2019-01-21,NY,155
2019-01-21,OH,72
2019-01-21,OK,66
2019-01-21,OR,92
2019-01-21,PA,55
2019-01-21,RI,6
2019-01-21,SC,151
2019-01-21,TN,59
2019-01-21,TX,171
2019-01-21,UT,156
2019-01-21,VA,54
2019-01-21,VT,1
2019-01-21,WA,37
2019-01-21,WI,31
2019-01-21,WY,2
2019-01-22,AL,67
2019-01-22,AR,3
2019-01-22,AZ,102
2019-01-22,CA,417
2019-01-22,CO,81
2019-01-22,CT,27
2019-01-22,DC,1
2019-01-22,DE,5
2019-01-22,FL,196
2019-01-22,GA,82
2019-01-22,IA,13
2019-01-22,ID,4
2019-01-22,IL,80
2019-01-22,IN,38
2019-01-22,KS,10
2019-01-22,KY,16
2019-01-22,LA,50
2019-01-22,MA,58
2019-01-22,MD,30
2019-01-22,MI,109
2019-01-22,MN,164
2019-01-22,MO,25
2019-01-22,MS,13
2019-01-22,NC,214
2019-01-22,NE,28
2019-01-22,NH,20
2019-01-22,NJ,52
2019-01-22,NM,9
2019-01-22,NV,13
2019-01-22,NY,218
2019-01-22,OH,62
2019-01-22,OK,68
2019-01-22,OR,134
2019-01-22,PA,94
2019-01-22,RI,12
2019-01-22,SC,161
2019-01-22,TN,99
2019-01-22,TX,345
2019-01-22,UT,79
2019-01-22,VA,101
2019-01-22,VT,2
2019-01-22,WA,47
2019-01-22,WI,30
2019-01-22,WV,3
2019-01-23,AL,117
2019-01-23,AR,5
2019-01-23,AZ,51
2019-01-23,CA,397
2019-01-23,CO,63
2019-01-23,CT,23
2019-01-23,DC,2
2019-01-23,DE,2
2019-01-23,FL,216
2019-01-23,GA,85
2019-01-23,IA,29
2019-01-23,ID,3
2019-01-23,IL,133
2019-01-23,IN,28
2019-01-23,KS,6
2019-01-23,KY,25
2019-01-23,LA,76
2019-01-23,MA,49
2019-01-23,MD,23
2019-01-23,ME,3
2019-01-23,MI,207
2019-01-23,MN,81
2019-01-23,MO,40
2019-01-23,MS,23
2019-01-23,MT,2
2019-01-23,NC,181
2019-01-23,NE,37
2019-01-23,NH,9
2019-01-23,NJ,22
2019-01-23,NM,7
2019-01-23,NV,5
2019-01-23,NY,210
2019-01-23,OH,73
2019-01-23,OK,77
2019-01-23,OR,162
2019-01-23,PA,104
2019-01-23,RI,15
2019-01-23,SC,160
2019-01-23,TN,101
2019-01-23,TX,309
2019-01-23,UT,62
2019-01-23,VA,90
2019-01-23,VT,1
2019-01-23,WA,53
2019-01-23,WI,93
2019-01-23,WV,3
2019-01-23,WY,1
2019-01-24,AL,81
2019-01-24,AR,1
2019-01-24,AZ,86
2019-01-24,CA,532
2019-01-24,CO,95
2019-01-24,CT,22
2019-01-24,DC,3
2019-01-24,DE,6
2019-01-24,FL,250
2019-01-24,GA,110
2019-01-24,IA,29
2019-01-24,ID,1
2019-01-24,IL,113
2019-01-24,IN,23
2019-01-24,KS,3
2019-01-24,KY,32
2019-01-24,LA,71
2019-01-24,MA,34
2019-01-24,MD,31
2019-01-24,ME,5
2019-01-24,MI,59
2019-01-24,MN,106
2019-01-24,MO,30
2019-01-24,MS,4
2019-01-24,NC,251
2019-01-24,NE,38
2019-01-24,NH,15
2019-01-24,NJ,73
2019-01-24,NM,4
2019-01-24,NV,14
2019-01-24,NY,163
2019-01-24,OH,112
2019-01-24,OK,88
2019-01-24,OR,116
2019-01-24,PA,85
2019-01-24,RI,18
2019-01-24,SC,201
2019-01-24,TN,91
2019-01-24,TX,307
2019-01-24,UT,54
2019-01-24,VA,137
2019-01-24,VT,1
2019-01-24,WA,75
2019-01-24,WI,56
2019-01-24,WV,2
2019-01-24,WY,2
2019-01-25,AL,66
2019-01-25,AR,3
2019-01-25,AZ,93
2019-01-25,CA,515
2019-01-25,CO,91
2019-01-25,CT,26
2019-01-25,DC,2
2019-01-25,DE,10
2019-01-25,FL,187
2019-01-25,GA,89
2019-01-25,IA,15
2019-01-25,IL,159
2019-01-25,IN,32
2019-01-25,KS,7
2019-01-25,KY,20
2019-01-25,LA,82
2019-01-25,MA,45
2019-01-25,MD,32
2019-01-25,ME,1
2019-01-25,MI,141
2019-01-25,MN,97
2019-01-25,MO,22
2019-01-25,MS,4
2019-01-25,MT,1
2019-01-25,NC,211
2019-01-25,NE,21
2019-01-25,NH,9
2019-01-25,NJ,46
2019-01-25,NM,3
2019-01-25,NV,11
2019-01-25,NY,188
2019-01-25,OH,39
2019-01-25,OK,73
2019-01-25,OR,136
2019-01-25,PA,96
2019-01-25,RI,11
2019-01-25,SC,181
2019-01-25,SD,1
2019-01-25,TN,91
2019-01-25,TX,304
2019-01-25,UT,60
2019-01-25,VA,110
2019-01-25,WA,52
2019-01-25,WI,27
2019-01-25,WV,4
2019-01-25,WY,3
2019-01-26,AL,21
2019-01-26,AR,1
2019-01-26,AZ,26
2019-01-26,CA,173
2019-01-26,CO,17
2019-01-26,CT,11
2019-01-26,DC,2
2019-01-26,FL,82
2019-01-26,GA,22
2019-01-26,IA,15
2019-01-26,ID,2
2019-01-26,IL,43
2019-01-26,IN,22
2019-01-26,KS,0
2019-01-26,KY,3
2019-01-26,LA,8
2019-01-26,MD,8
2019-01-26,MI,27
2019-01-26,MN,70
2019-01-26,MO,8
2019-01-26,NC,32
2019-01-26,NE,8
2019-01-26,NH,5
2019-01-26,NJ,15
2019-01-26,NM,3
2019-01-26,NV,3
2019-01-26,NY,71
2019-01-26,OH,8
2019-01-26,OK,9
2019-01-26,OR,65
2019-01-26,PA,19
2019-01-26,RI,5
2019-01-26,SC,34
2019-01-26,TN,3
2019-01-26,TX,70
2019-01-26,UT,42
2019-01-26,VA,15
2019-01-26,WA,28
2019-01-26,WI,9
2019-01-26,WV,3
2019-01-26,WY,2
2019-01-27,AL,7
2019-01-27,AR,1
2019-01-27,AZ,19
2019-01-27,CA,209
2019-01-27,CO,6
2019-01-27,DC,1
2019-01-27,FL,119
2019-01-27,GA,17
2019-01-27,IA,8
2019-01-27,IL,10
2019-01-27,IN,6
2019-01-27,KS,1
2019-01-27,MA,2
2019-01-27,MD,10
2019-01-27,ME,1
2019-01-27,MI,63
2019-01-27,MN,51
2019-01-27,MO,11
2019-01-27,NC,17
2019-01-27,NE,3
2019-01-27,NH,8
2019-01-27,NJ,14
2019-01-27,NM,6
2019-01-27,NV,2
2019-01-27,NY,58
2019-01-27,OH,3
2019-01-27,OK,4
2019-01-27,OR,53
2019-01-27,PA,15
2019-01-27,SC,25
2019-01-27,TN,12
2019-01-27,TX,36
2019-01-27,UT,19
2019-01-27,VA,9
